grupo,split,hora,tempo_viagem_min,distancia_km,confianca_emocao,paradas,tempo_sem_parada_min,classe_imagem,emocao,decisao,origem
19,treino,2,317.1409360820127,142.889,0.44464809941433914,4,197.159,desconhecido,TRISTE,DESCANSAR,sintetico
19,treino,2,317.1409360820127,145.805,0.44464809941433914,4,195.622,desconhecido,TRISTE,DESCANSAR,sintetico
20,treino,13,98.88540212793032,357.227,0.7954500103885992,1,15.964,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
20,treino,13,98.88540212793032,355.77,0.7954500103885992,1,22.377,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
20,treino,13,98.88540212793032,359.346,0.7954500103885992,1,14.247,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
21,treino,13,299.4185717271378,16.912,0.5501339231630529,1,44.748,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
21,treino,13,299.4185717271378,13.387,0.5501339231630529,1,53.482,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
21,treino,13,299.4185717271378,21.674,0.5501339231630529,1,50.107,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
22,treino,11,211.7908961038769,56.338,0.42646731156928325,2,187.879,restaurante,NEUTRO,DESCANSAR,sintetico
22,treino,11,211.7908961038769,55.265,0.42646731156928325,2,193.185,restaurante,NEUTRO,DESCANSAR,sintetico
22,treino,11,211.7908961038769,63.079,0.42646731156928325,2,189.448,restaurante,NEUTRO,DESCANSAR,sintetico
23,teste,19,271.06455195595646,372.671,0.4920423993376152,1,5.041,posto de combustível,IRRITADO,AVALIAR ABASTECIMENTO,sintetico
23,teste,19,271.06455195595646,374.614,0.4920423993376152,1,9.741,posto de combustível,IRRITADO,AVALIAR ABASTECIMENTO,sintetico
23,teste,19,271.06455195595646,373.946,0.4920423993376152,1,9.826,posto de combustível,IRRITADO,AVALIAR ABASTECIMENTO,sintetico
24,treino,8,61.515234258159595,284.696,0.5795250335581605,0,10.773,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
24,treino,8,61.515234258159595,283.717,0.5795250335581605,0,15.99,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
24,treino,8,61.515234258159595,277.741,0.5795250335581605,0,13.877,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
25,treino,13,121.53299267518581,341.895,0.9301334624290166,2,89.235,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
25,treino,13,121.53299267518581,342.527,0.9301334624290166,2,89.157,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
25,treino,13,121.53299267518581,343.396,0.9301334624290166,2,80.615,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
26,treino,13,127.7189246463291,316.659,0.6118363303223647,4,17.942,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
26,treino,13,127.7189246463291,318.827,0.6118363303223647,4,23.31,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
26,treino,13,127.7189246463291,316.766,0.6118363303223647,4,25.345,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
27,treino,21,74.94747083111571,168.765,0.9193246915827885,2,53.72,ponto turístico,TRISTE,CONTINUAR,sintetico
27,treino,21,74.94747083111571,172.59,0.9193246915827885,2,51.388,ponto turístico,TRISTE,CONTINUAR,sintetico
27,treino,21,74.94747083111571,170.781,0.9193246915827885,2,51.691,ponto turístico,TRISTE,CONTINUAR,sintetico
28,treino,17,50.187168665999394,168.658,0.9142182024381098,1,10.108,ponto turístico,desconhecido,CONTINUAR,sintetico
28,treino,17,50.187168665999394,166.048,0.9142182024381098,1,14.403,ponto turístico,desconhecido,CONTINUAR,sintetico
28,treino,17,50.187168665999394,168.978,0.9142182024381098,1,16.651,ponto turístico,desconhecido,CONTINUAR,sintetico
29,teste,14,161.8340359774733,271.889,0.6567043981247522,1,47.119,desconhecido,NEUTRO,CONTINUAR,sintetico
29,teste,14,161.8340359774733,266.185,0.6567043981247522,1,50.446,desconhecido,NEUTRO,CONTINUAR,sintetico
29,teste,14,161.8340359774733,267.6,0.6567043981247522,1,44.03,desconhecido,NEUTRO,CONTINUAR,sintetico
30,teste,12,57.310656597249306,17.325,0.9403616136691109,4,56.307,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
30,teste,12,57.310656597249306,14.961,0.9403616136691109,4,57.311,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
30,teste,12,57.310656597249306,22.412,0.9403616136691109,4,57.311,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
31,teste,3,281.33924440240037,90.551,0.8324659137038858,4,42.757,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
31,teste,3,281.33924440240037,92.415,0.8324659137038858,4,42.036,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
31,teste,3,281.33924440240037,92.037,0.8324659137038858,4,44.996,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
32,treino,19,294.3273101027478,356.555,0.6060444541151933,4,216.47,natureza,ANIMADO,DESCANSAR,sintetico
32,treino,19,294.3273101027478,354.281,0.6060444541151933,4,220.255,natureza,ANIMADO,DESCANSAR,sintetico
32,treino,19,294.3273101027478,359.466,0.6060444541151933,4,219.091,natureza,ANIMADO,DESCANSAR,sintetico
33,teste,20,89.93228165419467,176.351,0.7781269175666339,1,25.136,restaurante,TRISTE,CONTINUAR,sintetico
33,teste,20,89.93228165419467,173.262,0.7781269175666339,1,30.692,restaurante,TRISTE,CONTINUAR,sintetico
33,teste,20,89.93228165419467,178.013,0.7781269175666339,1,24.394,restaurante,TRISTE,CONTINUAR,sintetico
34,treino,13,122.46289381851966,181.565,0.3873594263501512,3,119.664,natureza,desconhecido,CONTINUAR,sintetico
34,treino,13,122.46289381851966,187.127,0.3873594263501512,3,115.627,natureza,desconhecido,CONTINUAR,sintetico
34,treino,13,122.46289381851966,190.797,0.3873594263501512,3,113.844,natureza,desconhecido,CONTINUAR,sintetico
35,treino,13,307.97402245203216,376.662,0.601412769577893,4,37.587,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
35,treino,13,307.97402245203216,383.164,0.601412769577893,4,38.268,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
35,treino,13,307.97402245203216,378.023,0.601412769577893,4,38.899,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
36,treino,4,353.1563020192177,213.266,0.894157317552061,4,7.716,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
36,treino,4,353.1563020192177,212.44,0.894157317552061,4,9.33,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
36,treino,4,353.1563020192177,211.918,0.894157317552061,4,14.825,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
37,treino,12,103.78109855177613,376.003,0.6029388960552432,0,82.254,natureza,NEUTRO,CONTINUAR,sintetico
37,treino,12,103.78109855177613,377.724,0.6029388960552432,0,73.421,natureza,NEUTRO,CONTINUAR,sintetico
37,treino,12,103.78109855177613,385.055,0.6029388960552432,0,73.137,natureza,NEUTRO,CONTINUAR,sintetico
38,treino,0,342.11216511417604,75.888,0.3622280103921994,1,166.489,posto de combustível,ANIMADO,DESCANSAR,sintetico
38,treino,0,342.11216511417604,79.395,0.3622280103921994,1,159.573,posto de combustível,ANIMADO,DESCANSAR,sintetico
38,treino,0,342.11216511417604,78.433,0.3622280103921994,1,163.07,posto de combustível,ANIMADO,DESCANSAR,sintetico
39,teste,23,260.01681615158293,309.236,0.44825948610031946,2,8.45,estrada,desconhecido,CONTINUAR,sintetico
39,teste,23,260.01681615158293,315.698,0.44825948610031946,2,5.643,estrada,desconhecido,CONTINUAR,sintetico
39,teste,23,260.01681615158293,313.267,0.44825948610031946,2,2.437,estrada,desconhecido,CONTINUAR,sintetico
40,treino,11,299.852929992013,96.424,0.7683158014974634,2,29.954,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
40,treino,11,299.852929992013,97.199,0.7683158014974634,2,29.661,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
40,treino,11,299.852929992013,100.636,0.7683158014974634,2,34.472,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
41,treino,3,158.9008074706762,149.071,0.8849450088830618,3,58.179,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
41,treino,3,158.9008074706762,144.524,0.8849450088830618,3,58.689,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
41,treino,3,158.9008074706762,145.8,0.8849450088830618,3,53.655,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
42,treino,7,299.9095117061642,33.455,0.8789787104016631,1,178.331,natureza,desconhecido,DESCANSAR,sintetico
42,treino,7,299.9095117061642,38.175,0.8789787104016631,1,179.863,natureza,desconhecido,DESCANSAR,sintetico
42,treino,7,299.9095117061642,31.786,0.8789787104016631,1,186.023,natureza,desconhecido,DESCANSAR,sintetico
43,treino,10,104.27876325334302,234.318,0.878064407153138,4,101.064,estrada,desconhecido,CONTINUAR,sintetico
43,treino,10,104.27876325334302,238.348,0.878064407153138,4,101.444,estrada,desconhecido,CONTINUAR,sintetico
43,treino,10,104.27876325334302,240.368,0.878064407153138,4,100.322,estrada,desconhecido,CONTINUAR,sintetico
44,treino,15,164.10196510323263,7.713,0.5265413487922983,3,49.982,desconhecido,ANIMADO,CONTINUAR,sintetico
44,treino,15,164.10196510323263,7.207,0.5265413487922983,3,49.504,desconhecido,ANIMADO,CONTINUAR,sintetico
44,treino,15,164.10196510323263,9.357,0.5265413487922983,3,48.557,desconhecido,ANIMADO,CONTINUAR,sintetico
45,treino,12,166.07956831287837,125.035,0.4883228247791046,1,15.004,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
45,treino,12,166.07956831287837,123.545,0.4883228247791046,1,19.841,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
45,treino,12,166.07956831287837,123.617,0.4883228247791046,1,22.044,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
46,treino,6,110.16749445912629,146.327,0.5313605532682613,4,46.065,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
46,treino,6,110.16749445912629,148.037,0.5313605532682613,4,49.711,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
46,treino,6,110.16749445912629,148.08,0.5313605532682613,4,50.543,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
47,treino,15,174.9435440552713,135.289,0.9292985858829769,2,139.565,natureza,NEUTRO,DESCANSAR,sintetico
47,treino,15,174.9435440552713,137.577,0.9292985858829769,2,139.36,natureza,NEUTRO,DESCANSAR,sintetico
47,treino,15,174.9435440552713,132.774,0.9292985858829769,2,144.452,natureza,NEUTRO,DESCANSAR,sintetico
48,treino,9,35.23922248066167,96.533,0.684843820770577,3,28.091,ponto turístico,desconhecido,CONTINUAR,sintetico
48,treino,9,35.23922248066167,98.782,0.684843820770577,3,27.292,ponto turístico,desconhecido,CONTINUAR,sintetico
48,treino,9,35.23922248066167,102.878,0.684843820770577,3,32.765,ponto turístico,desconhecido,CONTINUAR,sintetico
49,teste,9,206.86346207160278,19.904,0.9260652664605794,0,52.144,posto de combustível,ANIMADO,CONTINUAR,sintetico
49,teste,9,206.86346207160278,24.612,0.9260652664605794,0,51.311,posto de combustível,ANIMADO,CONTINUAR,sintetico
49,teste,9,206.86346207160278,23.177,0.9260652664605794,0,56.639,posto de combustível,ANIMADO,CONTINUAR,sintetico
50,treino,12,108.3970476060148,93.036,0.77417349792742,3,39.739,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
50,treino,12,108.3970476060148,96.675,0.77417349792742,3,41.529,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
50,treino,12,108.3970476060148,88.305,0.77417349792742,3,34.922,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
51,treino,9,216.24063324838866,329.701,0.9027155173805829,3,84.779,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
51,treino,9,216.24063324838866,325.501,0.9027155173805829,3,80.239,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
51,treino,9,216.24063324838866,329.016,0.9027155173805829,3,83.064,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
52,treino,8,14.182036797859084,93.293,0.7545790203033027,4,11.871,ponto turístico,NEUTRO,CONTINUAR,sintetico
52,treino,8,14.182036797859084,86.972,0.7545790203033027,4,14.182,ponto turístico,NEUTRO,CONTINUAR,sintetico
52,treino,8,14.182036797859084,91.275,0.7545790203033027,4,14.182,ponto turístico,NEUTRO,CONTINUAR,sintetico
53,treino,8,69.4286472642097,232.465,0.7308708316724521,3,25.86,estrada,IRRITADO,DESCANSAR,sintetico
53,treino,8,69.4286472642097,237.709,0.7308708316724521,3,22.457,estrada,IRRITADO,DESCANSAR,sintetico
53,treino,8,69.4286472642097,236.069,0.7308708316724521,3,22.041,estrada,IRRITADO,DESCANSAR,sintetico
54,teste,12,293.8159423319803,222.764,0.6228955451610376,2,37.709,restaurante,TRISTE,ALIMENTAR-SE,sintetico
54,teste,12,293.8159423319803,223.288,0.6228955451610376,2,29.071,restaurante,TRISTE,ALIMENTAR-SE,sintetico
54,teste,12,293.8159423319803,223.732,0.6228955451610376,2,33.679,restaurante,TRISTE,ALIMENTAR-SE,sintetico
55,teste,12,71.59180219505713,144.093,0.8038658924333442,3,71.592,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
55,teste,12,71.59180219505713,140.926,0.8038658924333442,3,71.592,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
55,teste,12,71.59180219505713,145.8,0.8038658924333442,3,68.985,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
56,treino,5,115.31629912963396,7.636,0.5947944123739415,1,44.943,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
56,treino,5,115.31629912963396,3.204,0.5947944123739415,1,48.201,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
56,treino,5,115.31629912963396,10.272,0.5947944123739415,1,42.291,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
57,treino,17,56.3478988123911,79.788,0.70962655920494,1,41.937,estrada,TRISTE,CONTINUAR,sintetico
57,treino,17,56.3478988123911,79.121,0.70962655920494,1,41.21,estrada,TRISTE,CONTINUAR,sintetico
57,treino,17,56.3478988123911,71.27,0.70962655920494,1,45.799,estrada,TRISTE,CONTINUAR,sintetico
58,treino,18,210.87280127860848,264.495,0.8691563568201456,3,73.212,ponto turístico,IRRITADO,DESCANSAR,sintetico
58,treino,18,210.87280127860848,263.53,0.8691563568201456,3,70.995,ponto turístico,IRRITADO,DESCANSAR,sintetico
58,treino,18,210.87280127860848,260.863,0.8691563568201456,3,74.752,ponto turístico,IRRITADO,DESCANSAR,sintetico
59,treino,18,140.95465137000878,345.519,0.5964650573297469,2,98.266,desconhecido,IRRITADO,CONTINUAR,sintetico
59,treino,18,140.95465137000878,344.042,0.5964650573297469,2,102.613,desconhecido,IRRITADO,CONTINUAR,sintetico
59,treino,18,140.95465137000878,347.213,0.5964650573297469,2,99.358,desconhecido,IRRITADO,CONTINUAR,sintetico
60,teste,14,49.81742578233298,382.583,0.5491968223588182,0,5.091,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
60,teste,14,49.81742578233298,390.841,0.5491968223588182,0,0,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
60,teste,14,49.81742578233298,388.957,0.5491968223588182,0,0,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
61,treino,19,250.91013249834313,255.294,0.8610591754104148,4,74.199,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
61,treino,19,250.91013249834313,261.246,0.8610591754104148,4,82.724,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
61,treino,19,250.91013249834313,264.909,0.8610591754104148,4,80.982,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
62,treino,13,352.30989351829373,308.182,0.7723344975974227,0,239.963,natureza,ANIMADO,DESCANSAR,sintetico
62,treino,13,352.30989351829373,307.109,0.7723344975974227,0,242.437,natureza,ANIMADO,DESCANSAR,sintetico
62,treino,13,352.30989351829373,302.896,0.7723344975974227,0,240.959,natureza,ANIMADO,DESCANSAR,sintetico
63,teste,16,151.27837088632927,273.917,0.45803413169078666,1,129.147,estrada,desconhecido,DESCANSAR,sintetico
63,teste,16,151.27837088632927,276.848,0.45803413169078666,1,128.17,estrada,desconhecido,DESCANSAR,sintetico
63,teste,16,151.27837088632927,272.332,0.45803413169078666,1,129.279,estrada,desconhecido,DESCANSAR,sintetico
64,treino,8,241.72845462960066,358.981,0.6291519533151808,2,36.643,desconhecido,desconhecido,CONTINUAR,sintetico
64,treino,8,241.72845462960066,360.439,0.6291519533151808,2,39.577,desconhecido,desconhecido,CONTINUAR,sintetico
64,treino,8,241.72845462960066,358.807,0.6291519533151808,2,35.688,desconhecido,desconhecido,CONTINUAR,sintetico
65,teste,13,75.72203468365679,151.83,0.6399248366355297,1,75.722,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
65,teste,13,75.72203468365679,155.46,0.6399248366355297,1,73.467,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
65,teste,13,75.72203468365679,154.537,0.6399248366355297,1,75.722,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
66,teste,23,350.6289999739133,365.456,0.797103292480382,2,59.073,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
66,teste,23,350.6289999739133,366.456,0.797103292480382,2,58.887,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
66,teste,23,350.6289999739133,367.63,0.797103292480382,2,58.578,natureza,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
67,teste,20,234.4509161561356,121.524,0.6144939140976868,4,23.607,restaurante,ANIMADO,CONTINUAR,sintetico
67,teste,20,234.4509161561356,120.33,0.6144939140976868,4,17.453,restaurante,ANIMADO,CONTINUAR,sintetico
67,teste,20,234.4509161561356,123.967,0.6144939140976868,4,25.847,restaurante,ANIMADO,CONTINUAR,sintetico
68,treino,16,183.13714060401824,108.694,0.44872665222124786,3,143.038,restaurante,TRISTE,DESCANSAR,sintetico
68,treino,16,183.13714060401824,111.552,0.44872665222124786,3,144.541,restaurante,TRISTE,DESCANSAR,sintetico
68,treino,16,183.13714060401824,110.774,0.44872665222124786,3,149.029,restaurante,TRISTE,DESCANSAR,sintetico
69,treino,12,348.3807602915115,321.383,0.5694650296433398,3,188.66,estrada,TRISTE,DESCANSAR,sintetico
69,treino,12,348.3807602915115,323.558,0.5694650296433398,3,187.777,estrada,TRISTE,DESCANSAR,sintetico
69,treino,12,348.3807602915115,325.059,0.5694650296433398,3,191.334,estrada,TRISTE,DESCANSAR,sintetico
70,treino,11,244.5669771582393,188.233,0.7217281202267176,4,59.197,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
70,treino,11,244.5669771582393,190.083,0.7217281202267176,4,53.353,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
70,treino,11,244.5669771582393,184.044,0.7217281202267176,4,52.558,restaurante,NEUTRO,ALIMENTAR-SE,sintetico
71,treino,15,46.222770657413875,96.186,0.6725279635295154,3,46.223,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
71,treino,15,46.222770657413875,95.469,0.6725279635295154,3,46.223,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
71,treino,15,46.222770657413875,95.077,0.6725279635295154,3,46.223,ponto turístico,ANIMADO,REGISTRAR PONTO TURÍSTICO,sintetico
72,teste,8,16.614281833541654,146.885,0.6160298516364209,1,16.614,restaurante,NEUTRO,CONTINUAR,sintetico
72,teste,8,16.614281833541654,149.66,0.6160298516364209,1,11.903,restaurante,NEUTRO,CONTINUAR,sintetico
72,teste,8,16.614281833541654,145.971,0.6160298516364209,1,16.614,restaurante,NEUTRO,CONTINUAR,sintetico
73,treino,14,37.54406545521991,81.102,0.7336957511178223,0,9.79,estrada,TRISTE,CONTINUAR,sintetico
73,treino,14,37.54406545521991,80.528,0.7336957511178223,0,11.796,estrada,TRISTE,CONTINUAR,sintetico
73,treino,14,37.54406545521991,81.914,0.7336957511178223,0,6.304,estrada,TRISTE,CONTINUAR,sintetico
